,State_Code,State_Name,Crash_ID,Count_Non_Motorists,Count_Vehicles_Total,Count_Vehicle_Forms,Count_PVH_Involved,Count_Occupants_MV,City_Name,Month_Name,Day_of_Month,Day_of_Week,Crash_Hour,Crash_Minute,Area_Rural_Urban,Road_Functional_Class,On_NHS_Road,Latitude,Longitude,Intersection_Type,Light_Condition,Weather_Condition,Notif_Hour,Notif_Minute,Arrival_Hour,Arrival_Minute,Hospital_Hour,Hospital_Minute,Fatalities_Count,Clean_Light_Condition,Clean_Weather_Condition,Total_Killed,Total_Alive,Fatal_Seats_List,Killed_Restraint_List,Any_Driver_Drinking,Total_Drinking_Drivers,Driver_License_Category,Driver_Max_Prev_Accident_Count,Driver_Max_Prev_Speeding_Count,Max_Driver_Age,Min_Driver_Age,Driver_Sex_List,Total_Exceeding_Limit_Vehicles,Total_Too_Fast_Vehicles,Max_Vehicle_Type_Severity_5,Max_Vehicle_Damage_Rank,Max_Harmful_Event_Severity,Crash_Road_Surface_Condition,Crash_Horizontal_Alignment,Crash_Vertical_Profile,Crash_Impairment_Category,Crash_Vehicle_Defect
37610,56,Wyoming,560078,0,1,1,0,1,GREEN RIVER,August,18,Friday,1,23,Urban,High Speed (Arterial),Yes,41.54225556,-109.47904722,Non-Intersection,Dark - Not Lighted,Clear,Unknown,Unknown,Unknown EMS Scene Arrival Hour,Unknown EMS Scene Arrival Minutes,Not Applicable (Not Transported),Not Applicable (Not Transported),1,Dark - Unlighted,Clear,1,0,['Driver'],['None_Used'],0,0,Valid,0.0,0.0,54.0,54.0,['Male'],1,0,4,4,3,Dry,Curve,Grade/Hillcrest,Lowest,No
37611,56,Wyoming,560079,0,1,1,0,1,NOT APPLICABLE,August,21,Monday,18,0,Rural,High Speed (Arterial),Yes,41.54405,-109.91185,Non-Intersection,Daylight,Clear,6:00pm-6:59pm,4,6:00pm-6:59pm,30,Not Applicable (Not Transported),Not Applicable (Not Transported),1,Daylight,Clear,1,0,['Driver'],['None_Used'],0,0,Valid,0.0,0.0,56.0,56.0,['Male'],0,0,4,4,2,Dry,Curve,Level,Lowest,No
37612,56,Wyoming,560080,0,1,1,0,1,NOT APPLICABLE,August,24,Thursday,21,12,Rural,Medium Speed (Collector),No,41.05739722,-104.50526667,Non-Intersection,Dark - Not Lighted,Clear,9:00pm-9:59pm,19,9:00pm-9:59pm,30,Not Applicable (Not Transported),Not Applicable (Not Transported),1,Dark - Unlighted,Clear,1,0,['Driver'],['None_Used'],1,1,Valid,0.0,1.0,43.0,43.0,['Male'],1,0,5,4,2,Loose/Unpaved,Curve,Level,Lowest,No
37613,56,Wyoming,560081,0,2,2,0,3,NOT APPLICABLE,August,25,Friday,18,8,Rural,Medium Speed (Collector),No,41.22093611,-107.69329167,Non-Intersection,Daylight,Clear,5:00pm-5:59pm,51,6:00pm-6:59pm,16,Unknown,Unknown EMS Hospital Arrival Time,1,Daylight,Clear,1,2,['Driver'],['None_Used'],0,0,Valid,0.0,0.0,78.0,24.0,"['Female', 'Male']",0,0,3,4,5,Dry,Straight,Level,Lowest,No
37614,56,Wyoming,560082,0,2,2,0,2,NOT APPLICABLE,August,29,Tuesday,14,25,Rural,Low Speed (Local),No,41.11518611,-104.40809444,Complex/Circle,Daylight,Clear,2:00pm-2:59pm,35,3:00pm-3:59pm,3,Not Applicable (Not Transported),Not Applicable (Not Transported),1,Daylight,Clear,1,1,['Driver'],['Shoulder_Lapbelt'],0,0,Valid,0.0,0.0,35.0,16.0,"['Female', 'Female']",1,0,4,4,3,Dry,Straight,Level,Lowest,No
37615,56,Wyoming,560083,0,2,2,0,3,NOT APPLICABLE,September,1,Friday,15,45,Rural,High Speed (Arterial),Yes,42.26001944,-104.29341944,Non-Intersection,Daylight,Clear,Unknown,Unknown,Unknown EMS Scene Arrival Hour,Unknown EMS Scene Arrival Minutes,Not Applicable (Not Transported),Not Applicable (Not Transported),3,Daylight,Clear,3,0,"['Driver', 'Driver', 'Front_Passenger']","['Shoulder_Lapbelt', 'Shoulder_Lapbelt', 'Shoulder_Lapbelt']",1,1,Valid,0.0,4.0,84.0,44.0,"['Female', 'Male']",0,0,3,4,5,Dry,Straight,Level,Lowest,No
37616,56,Wyoming,560084,0,1,1,0,2,NOT APPLICABLE,September,2,Saturday,16,10,Rural,Medium Speed (Collector),No,44.75576111,-109.38389444,Non-Intersection,Daylight,Clear,4:00pm-4:59pm,14,4:00pm-4:59pm,39,5:00pm-5:59pm,38,1,Daylight,Clear,1,1,['Driver'],['None_Used'],1,1,Valid,0.0,0.0,53.0,53.0,['Female'],0,0,5,2,2,Dry,Curve,Grade/Hillcrest,Lowest,No
37617,56,Wyoming,560085,1,1,1,0,2,CASPER,September,4,Monday,21,49,Urban,High Speed (Arterial),Yes,42.819525,-106.36848056,Simple Junction,Dark - Not Lighted,Rain,Unknown,Unknown,Unknown EMS Scene Arrival Hour,Unknown EMS Scene Arrival Minutes,Unknown,Unknown EMS Hospital Arrival Time,1,Dark - Unlighted,Rain/Wind/Minor,0,2,[],[],0,0,Valid,0.0,0.0,18.0,18.0,['Female'],0,0,3,2,4,Wet/Standing Water,Straight,Grade/Hillcrest,Lowest,No
37618,56,Wyoming,560086,0,1,1,0,2,NOT APPLICABLE,September,11,Monday,23,0,Rural,Medium Speed (Collector),No,44.28468333,-105.20591944,Non-Intersection,Dark - Not Lighted,Clear,11:00pm-11:59pm,13,11:00pm-11:59pm,28,11:00pm-11:59pm,52,1,Dark - Unlighted,Clear,1,1,['Front_Passenger'],['None_Used'],0,0,Invalid,0.0,0.0,17.0,17.0,['Male'],0,0,3,4,3,Dry,Straight,Level,Lowest,No
37619,56,Wyoming,560087,0,2,2,0,2,NOT APPLICABLE,September,18,Monday,9,5,Rural,High Speed (Arterial),Yes,41.67941944,-108.78676944,Non-Intersection,Daylight,Clear,Unknown,Unknown,Unknown EMS Scene Arrival Hour,Unknown EMS Scene Arrival Minutes,Not Applicable (Not Transported),Not Applicable (Not Transported),1,Daylight,Clear,1,1,['Driver'],['Shoulder_Lapbelt'],1,1,Invalid,0.0,0.0,42.0,41.0,"['Male', 'Male']",0,0,4,4,5,Dry,Straight,Level,Lowest,No
